index,slippage_points_per_leg,mean_net_rupees,median_net_rupees,profit_share,sum_net_rupees
NIFTY,0,1959.2689,2928.4698,0.7937,123433.9425
NIFTY,1,1571.4634,2538.8598,0.7143,99002.1925
NIFTY,2,1183.6578,2149.2498,0.6667,74570.4425
NIFTY,3,795.8523,1759.6398,0.6667,50138.6925
NIFTY,5,20.2412,145.3839,0.6190,1275.1955
SENSEX,0,2741.4491,3318.1940,0.7705,167428.3949
SENSEX,1,2624.4878,3318.1940,0.7705,160093.7550
SENSEX,2,2507.5265,3318.1940,0.7705,152959.1150
SENSEX,3,2390.5652,3318.1940,0.7705,145824.4750
SENSEX,5,2156.6425,3318.1940,0.7705,131555.1950
